SAMPLE_NAME,ENA_FILE_PATH,READ_COUNT,POPULATION,MD5SUM
NA19087,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239615/NA19087.final.cram,761253556,JPT,5b660fb684ddd73781e84acce916e6e1
NA19107,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239620/NA19107.final.cram,735314562,YRI,332548d4a82f2e5bb9dd47dea1bbac56
NA19118,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239623/NA19118.final.cram,825878548,YRI,7c0688f07c236e3d1fd0e75a787a6c49
NA19175,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239628/NA19175.final.cram,823971032,YRI,fbed92695c9ae97a3acd551dd6611a6e
NA20126,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239974/NA20126.final.cram,707379052,ASW,a440d3ce93ecb324a6e0adc3695edb32
NA20281,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239978/NA20281.final.cram,683817340,ASW,972e256ab17edc38d9e9e6b33ebf413e
NA20294,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239983/NA20294.final.cram,754782236,ASW,36aeb18f332512155bedbfb0a70964df
NA20296,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239984/NA20296.final.cram,693803788,ASW,b178efe5f44bcba084992734718b5598
NA10847,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239284/NA10847.final.cram,749648264,CEU,da8275fb01c608dce65575396220a1a6
NA11832,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239289/NA11832.final.cram,742291116,CEU,beddeb133d6948840d1be236278cd1ca
NA18541,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239653/NA18541.final.cram,798668430,CHB,12246e18c88e97c1a9a4e2ee41d15bbb
NA18553,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239654/NA18553.final.cram,767547872,CHB,ad311378189e02b64fc69fc4906c0af9
NA20342,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239991/NA20342.final.cram,752437494,ASW,b48e41b8810ef4aec69576a1589a29a7
NA20858,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240007/NA20858.final.cram,760962582,GIH,1b9678e873beac6e5b9a4f028fa3026b
NA12155,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239309/NA12155.final.cram,737221994,CEU,993c8abd47a68d3635ec11a596e12dd9
NA18865,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239665/NA18865.final.cram,751694866,YRI,985d4cebb981c2218882ac9ba61f11dd
NA18982,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239673/NA18982.final.cram,682476756,JPT,0affe245de4cb8864e96d0f5c2f3c9a1
NA18984,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239675/NA18984.final.cram,728942560,JPT,ab6744fe2c3d38f79190a6b9b6ed560b
NA20870,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240013/NA20870.final.cram,716028964,GIH,9e8d5510a11b3290e509d97165d4d62b
NA20885,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240023/NA20885.final.cram,682086406,GIH,19323e4e1186adf8b7a0f2496178e8fe
NA18499,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239338/NA18499.final.cram,767152488,YRI,2e81b7fa1eb745f347b210700c99eb3e
NA18989,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239679/NA18989.final.cram,956618128,JPT,ad9885111f86a9babdbe12e7f4c98012
NA19036,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239695/NA19036.final.cram,1112323644,LWK,a37950c1082f651a7b06bd49059eaf68
NA20895,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240032/NA20895.final.cram,726664036,GIH,55aa2dbaf13fa1066293a54eee5fbd1d
NA21089,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240047/NA21089.final.cram,744224954,GIH,f274f54a179701876ad8cc61d1b2a20e
NA18547,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239358/NA18547.final.cram,908772238,CHB,ed994cc204350af7c2275cf69e8ac61c
NA18550,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239359/NA18550.final.cram,714491054,CHB,050fbf2048d79d07e4fb1c01b301c91c
NA18563,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239365/NA18563.final.cram,767791248,CHB,b9b2a8969db652b303d7a770a3f718f8
NA18566,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239367/NA18566.final.cram,737381724,CHB,14e4d19e645fa888a460e4ca88ca2eed
NA19314,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239709/NA19314.final.cram,946611152,LWK,b67a1ab7b1d64c716513c10f2d5dc804
NA19324,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239718/NA19324.final.cram,704050238,LWK,deb4b6dc318b343c3e62adbcbd8886a2
NA18582,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239374/NA18582.final.cram,783447432,CHB,9cd88bf3fb9279ba6352e88a83cab3fe
NA18593,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239376/NA18593.final.cram,776903530,CHB,10bc234c49b0d3e9c661e9504bc9afdb
NA18605,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239378/NA18605.final.cram,723727900,CHB,114d0f3bb9ca8873703e607c4718d12f
NA18861,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3239385/NA18861.final.cram,733108016,YRI,313ba08d89c97bd298abed36e913f7ef
NA19734,https://ftp-trace.ncbi.nlm.nih.gov/1000genomes/ftp/1000G_2504_high_coverage/data/ERR3240088/NA19734.final.cram,706003008,MXL,9d2a71ebef84ada27c4152e6be8343df
